ticket_id,customer_id,order_id,ticket_channel,ticket_type,priority,status,created_at,resolved_at,subject,description,assigned_team,resolution_summary
T000001,C00063,O000602,web_form,technical_issue,high,pending_customer,2025-08-15 00:48:06,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,customer_care,
T000002,C00126,O000359,phone,product_question,medium,open,2025-11-08 18:10:39,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",logistics,
T000003,C00171,O000724,web_form,technical_issue,urgent,pending_customer,2025-01-31 21:08:26,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,technical_support,
T000004,C00096,,phone,return_request,low,new,2025-02-15 07:50:38,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",technical_support,
T000005,C00023,,phone,technical_issue,low,closed,2025-11-29 04:35:37,2025-12-01 14:35:37,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,returns,Validated warranty and requested diagnostic evidence.
T000006,C00486,O001051,web_form,technical_issue,high,open,2025-03-05 14:19:11,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,billing,
T000007,C00198,O000522,web_form,return_request,high,resolved,2025-06-12 11:29:13,2025-06-13 08:29:13,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",customer_care,Validated warranty and requested diagnostic evidence.
T000008,C00008,O000533,chat,refund,urgent,open,2025-07-31 06:51:36,,Refund request for recent order,Customer requests update on refund amount and processing time.,returns,
T000009,C00163,O000795,email,warranty,low,pending_customer,2025-06-13 09:12:39,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,customer_care,
T000010,C00462,O000217,web_form,refund,medium,resolved,2025-05-01 16:31:21,2025-05-01 20:31:21,Refund request for recent order,Customer requests update on refund amount and processing time.,returns,Clarified invoice and resent billing document.
T000011,C00329,O000167,email,refund,medium,resolved,2026-03-28 20:09:01,2026-04-01 08:09:01,Refund request for recent order,Customer requests update on refund amount and processing time.,returns,Provided policy details and next steps.
T000012,C00050,O000006,email,product_question,low,pending_customer,2025-04-10 20:49:09,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",technical_support,
T000013,C00382,O001048,email,technical_issue,urgent,open,2025-11-23 23:41:37,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,technical_support,
T000014,C00211,O001223,email,technical_issue,high,resolved,2025-04-08 04:28:48,2025-04-09 00:28:48,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,logistics,Clarified invoice and resent billing document.
T000015,C00055,,web_form,product_question,urgent,open,2026-02-01 09:54:26,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",billing,
T000016,C00103,O000171,web_form,return_request,high,resolved,2026-01-14 15:31:27,2026-01-17 09:31:27,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",returns,Shared shipment update and opened carrier claim.
T000017,C00366,,web_form,refund,urgent,open,2025-04-17 21:29:01,,Refund request for recent order,Customer requests update on refund amount and processing time.,logistics,
T000018,C00127,,web_form,return_request,high,resolved,2025-09-24 04:08:38,2025-09-27 14:08:38,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",customer_care,Provided policy details and next steps.
T000019,C00165,O000869,phone,return_request,low,pending_customer,2025-04-10 01:30:43,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",technical_support,
T000020,C00241,O000676,phone,delivery_issue,medium,resolved,2025-12-21 00:00:20,2025-12-22 01:00:20,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,technical_support,Shared shipment update and opened carrier claim.
T000021,C00148,O000684,email,product_question,medium,new,2025-06-01 15:12:19,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",logistics,
T000022,C00160,,web_form,warranty,urgent,pending_customer,2026-01-03 16:37:48,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,billing,
T000023,C00220,O000624,phone,billing,medium,open,2025-08-18 17:36:48,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,customer_care,
T000024,C00315,,chat,product_question,low,resolved,2026-01-15 08:56:23,2026-01-16 15:56:23,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",logistics,Validated warranty and requested diagnostic evidence.
T000025,C00491,O000082,phone,warranty,low,pending_customer,2026-01-16 06:57:35,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,logistics,
T000026,C00107,O001363,web_form,return_request,high,new,2025-02-21 11:41:43,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",customer_care,
T000027,C00355,O001153,web_form,product_question,medium,resolved,2025-11-19 22:51:22,2025-11-21 19:51:22,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",returns,Issued refund after return inspection.
T000028,C00453,O000468,phone,return_request,low,open,2026-01-08 07:09:34,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",logistics,
T000029,C00357,,chat,warranty,high,resolved,2026-02-07 20:02:13,2026-02-12 10:02:13,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,customer_care,Provided policy details and next steps.
T000030,C00424,,web_form,billing,urgent,open,2025-12-23 07:15:35,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,technical_support,
T000031,C00487,O000088,web_form,warranty,urgent,pending_customer,2025-05-02 22:41:28,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,customer_care,
T000032,C00110,,web_form,return_request,urgent,open,2025-07-01 01:13:57,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",technical_support,
T000033,C00018,,phone,warranty,medium,open,2025-03-15 18:09:46,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,returns,
T000034,C00096,,email,billing,low,closed,2025-03-28 23:18:15,2025-03-31 21:18:15,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,logistics,Validated warranty and requested diagnostic evidence.
T000035,C00378,O000376,web_form,refund,low,resolved,2025-07-10 16:38:32,2025-07-12 14:38:32,Refund request for recent order,Customer requests update on refund amount and processing time.,technical_support,Shared shipment update and opened carrier claim.
T000036,C00492,,chat,technical_issue,low,resolved,2025-04-16 00:29:24,2025-04-20 12:29:24,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,customer_care,Issued refund after return inspection.
T000037,C00360,O001028,phone,billing,urgent,open,2025-12-05 07:55:30,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,returns,
T000038,C00270,O000624,phone,return_request,urgent,pending_customer,2025-12-29 17:33:57,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",returns,
T000039,C00298,O000203,phone,technical_issue,low,closed,2025-12-28 08:45:16,2026-01-01 05:45:16,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,technical_support,Clarified invoice and resent billing document.
T000040,C00332,,email,return_request,urgent,open,2025-02-22 01:38:55,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",returns,
T000041,C00116,O001170,phone,technical_issue,low,closed,2025-05-18 10:01:02,2025-05-22 20:01:02,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,customer_care,Clarified invoice and resent billing document.
T000042,C00391,O001059,web_form,return_request,urgent,resolved,2025-06-08 14:55:50,2025-06-09 11:55:50,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",returns,Issued refund after return inspection.
T000043,C00155,O000043,chat,product_question,medium,closed,2026-03-20 17:50:17,2026-03-23 16:50:17,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",technical_support,Validated warranty and requested diagnostic evidence.
T000044,C00163,,phone,refund,low,resolved,2025-02-08 14:27:13,2025-02-13 10:27:13,Refund request for recent order,Customer requests update on refund amount and processing time.,customer_care,Validated warranty and requested diagnostic evidence.
T000045,C00209,O000195,chat,return_request,medium,open,2025-12-11 01:45:02,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",billing,
T000046,C00192,O000109,chat,delivery_issue,urgent,resolved,2025-08-08 05:11:57,2025-08-11 13:11:57,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,customer_care,Provided policy details and next steps.
T000047,C00085,O001210,web_form,product_question,low,open,2026-03-17 13:58:33,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",billing,
