doc_id,file_name,title,doc_type,language,access_level,effective_date,source_uri,version,notes
DOC-RETURNS-POLICY,return_policy.pdf,Politica de Devoluciones RetailCo Iberia,policy,es,public_customer,2026-01-15,/Volumes/retailco/docs/return_policy.pdf,1.0,"Source of truth for refund_timeline, return_window and pickup guidance."
DOC-SHIPPING-POLICY,shipping_policy.pdf,Politica de Envios RetailCo Iberia,policy,es,public_customer,2026-01-15,/Volumes/retailco/docs/shipping_policy.pdf,1.0,"Source of truth for delivery_times, shipping_methods and delays."
DOC-WARRANTY,warranty_policy.pdf,Politica de Garantia Comercial RetailCo Iberia,policy,es,public_customer,2026-01-15,/Volumes/retailco/docs/warranty_policy.pdf,1.0,Source of truth for warranty coverage and claims process.
DOC-TERMS,terms_and_conditions.pdf,Terminos y Condiciones RetailCo Iberia,terms,es,public_customer,2026-01-15,/Volumes/retailco/docs/terms_and_conditions.pdf,1.0,Contains promotion_returns and cancellation conditions.
DOC-SUPPORT-PLAYBOOK,internal_support_playbook.pdf,Playbook Interno de Soporte RetailCo,playbook,es,internal,2026-01-15,/Volumes/retailco/docs/internal_support_playbook.pdf,1.0,Useful for internal assistant and governance labs.
DOC-MANUAL-LAPTOP-07,product_manual_smartwave_laptop_model_7.pdf,Manual de Usuario SmartWave Laptop Model 7,manual,es,public_customer,2026-01-15,/Volumes/retailco/docs/product_manual_smartwave_laptop_model_7.pdf,1.0,Manual-style document for chunking and retrieval.
DOC-MANUAL-AIRFRYER-04,product_manual_kitchenpro_air_fryer_model_4.pdf,Manual de Usuario KitchenPro Air Fryer Model 4,manual,es,public_customer,2026-01-15,/Volumes/retailco/docs/product_manual_kitchenpro_air_fryer_model_4.pdf,1.0,Manual-style document with maintenance and warranty hints.
DOC-FAQ,faq_customers.html,FAQ Clientes RetailCo Iberia,faq,es,public_customer,2026-01-15,/Volumes/retailco/docs/faq_customers.html,1.0,Useful for customer-facing RAG retrieval and FAQ chunking.
DOC-BILLING-FAQ,billing_faq.txt,Billing FAQ RetailCo Iberia,faq,es,internal,2026-01-15,/Volumes/retailco/docs/billing_faq.txt,1.0,Contains invoice_fields answer and escalation hints.
DOC-CATALOG-CHANGELOG,catalog_change_log.txt,Catalog Change Log RetailCo Iberia,changelog,es,internal,2026-01-15,/Volumes/retailco/docs/catalog_change_log.txt,1.0,Useful for internal assistant and metadata filtering.
DOC-SCAN-WARRANTY-FORM,warranty_claim_form_scan.png,Formulario Escaneado de Incidencia en Garantia,scan_form,es,internal,2026-01-15,/Volumes/retailco/docs/warranty_claim_form_scan.png,1.0,OCR practice document with structured fields.
DOC-SCAN-CARRIER-DELAY,carrier_delay_notice_scan.png,Aviso Escaneado de Retraso de Transportista,scan_notice,es,internal,2026-01-15,/Volumes/retailco/docs/carrier_delay_notice_scan.png,1.0,OCR practice document related to logistics delays.
DOC-README-CORPUS,README_corpus.txt,README Corpus RetailCo,readme,es,internal,2026-01-15,/Volumes/retailco/docs/README_corpus.txt,1.0,Operational usage guidance.
