ticket_id,gold_category,gold_priority,gold_summary
T000001,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000002,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000003,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000004,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000005,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000006,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000007,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000008,refund,urgent,Customer requests update on refund amount and processing time.
T000009,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000010,refund,medium,Customer requests update on refund amount and processing time.
T000011,refund,medium,Customer requests update on refund amount and processing time.
T000012,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000013,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000014,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000015,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000016,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000017,refund,urgent,Customer requests update on refund amount and processing time.
T000018,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000019,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000020,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000021,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000022,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000023,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000024,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000025,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000026,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000027,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000028,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000029,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000030,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000031,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000032,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000033,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000034,billing,low,Customer reports billing discrepancy or missing invoice details.
T000035,refund,low,Customer requests update on refund amount and processing time.
T000036,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000037,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000038,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000039,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000040,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000041,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000042,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000043,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000044,refund,low,Customer requests update on refund amount and processing time.
T000045,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000046,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000047,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000048,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000049,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000050,billing,high,Customer reports billing discrepancy or missing invoice details.
T000051,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000052,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000053,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000054,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000055,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000056,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000057,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000058,refund,medium,Customer requests update on refund amount and processing time.
T000059,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000060,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000061,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000062,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000063,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000064,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000065,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000066,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000067,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000068,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000069,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000070,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000071,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000072,refund,low,Customer requests update on refund amount and processing time.
T000073,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000074,billing,high,Customer reports billing discrepancy or missing invoice details.
T000075,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000076,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000077,refund,high,Customer requests update on refund amount and processing time.
T000078,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000079,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000080,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000081,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000082,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000083,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000084,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000085,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000086,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000087,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000088,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000089,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000090,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000091,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000092,refund,urgent,Customer requests update on refund amount and processing time.
T000093,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000094,warranty,medium,Customer asks whether product issue is covered under warranty terms.
