product_id,sku,product_name,category,subcategory,brand,price,currency,warranty_months,is_active,spec_summary
P0001,SKU-00001,HomeEase Laptop Model 1,Electronics,Laptops,HomeEase,56.02,EUR,24,True,Laptops designed for retail customers with premium features.
P0002,SKU-00002,UrbanFit Laptop Model 2,Electronics,Laptops,UrbanFit,1108.98,EUR,36,True,Laptops designed for retail customers with smart features.
P0003,SKU-00003,NovaTech Laptop Model 3,Electronics,Laptops,NovaTech,63.1,EUR,12,True,Laptops designed for retail customers with compact features.
P0004,SKU-00004,Electra Laptop Model 4,Electronics,Laptops,Electra,1078.71,EUR,36,False,Laptops designed for retail customers with premium features.
P0005,SKU-00005,SmartWave Laptop Model 5,Electronics,Laptops,SmartWave,891.11,EUR,12,True,Laptops designed for retail customers with smart features.
P0006,SKU-00006,KitchenPro Laptop Model 6,Electronics,Laptops,KitchenPro,430.25,EUR,12,True,Laptops designed for retail customers with compact features.
P0007,SKU-00007,HomeEase Laptop Model 7,Electronics,Laptops,HomeEase,581.29,EUR,24,True,Laptops designed for retail customers with energy efficient features.
P0008,SKU-00008,NovaTech Laptop Model 8,Electronics,Laptops,NovaTech,1099.0,EUR,36,True,Laptops designed for retail customers with smart features.
P0009,SKU-00009,HomeEase Laptop Model 9,Electronics,Laptops,HomeEase,836.02,EUR,36,True,Laptops designed for retail customers with premium features.
P0010,SKU-00010,HomeEase Laptop Model 10,Electronics,Laptops,HomeEase,86.82,EUR,12,True,Laptops designed for retail customers with compact features.
P0011,SKU-00011,Electra Laptop Model 11,Electronics,Laptops,Electra,1301.4,EUR,24,True,Laptops designed for retail customers with smart features.
P0012,SKU-00012,KitchenPro Laptop Model 12,Electronics,Laptops,KitchenPro,259.73,EUR,24,True,Laptops designed for retail customers with energy efficient features.
P0013,SKU-00013,HomeEase Laptop Model 13,Electronics,Laptops,HomeEase,920.51,EUR,12,True,Laptops designed for retail customers with premium features.
P0014,SKU-00014,SmartWave Laptop Model 14,Electronics,Laptops,SmartWave,580.59,EUR,36,True,Laptops designed for retail customers with energy efficient features.
P0015,SKU-00015,NovaTech Laptop Model 15,Electronics,Laptops,NovaTech,357.99,EUR,12,True,Laptops designed for retail customers with smart features.
P0016,SKU-00016,BluePeak Laptop Model 16,Electronics,Laptops,BluePeak,116.96,EUR,36,True,Laptops designed for retail customers with premium features.
P0017,SKU-00017,SmartWave Smartphone Model 1,Electronics,Smartphones,SmartWave,604.54,EUR,36,False,Smartphones designed for retail customers with premium features.
P0018,SKU-00018,BluePeak Smartphone Model 2,Electronics,Smartphones,BluePeak,225.65,EUR,36,True,Smartphones designed for retail customers with smart features.
P0019,SKU-00019,Cyclon Smartphone Model 3,Electronics,Smartphones,Cyclon,554.75,EUR,12,False,Smartphones designed for retail customers with compact features.
P0020,SKU-00020,NovaTech Smartphone Model 4,Electronics,Smartphones,NovaTech,1293.43,EUR,12,True,Smartphones designed for retail customers with smart features.
P0021,SKU-00021,HomeEase Smartphone Model 5,Electronics,Smartphones,HomeEase,588.46,EUR,36,False,Smartphones designed for retail customers with energy efficient features.
P0022,SKU-00022,NovaTech Smartphone Model 6,Electronics,Smartphones,NovaTech,1025.82,EUR,12,True,Smartphones designed for retail customers with energy efficient features.
P0023,SKU-00023,HomeEase Smartphone Model 7,Electronics,Smartphones,HomeEase,453.38,EUR,12,False,Smartphones designed for retail customers with compact features.
P0024,SKU-00024,BluePeak Smartphone Model 8,Electronics,Smartphones,BluePeak,1457.39,EUR,12,True,Smartphones designed for retail customers with energy efficient features.
P0025,SKU-00025,Electra Smartphone Model 9,Electronics,Smartphones,Electra,245.2,EUR,12,True,Smartphones designed for retail customers with energy efficient features.
P0026,SKU-00026,SmartWave Smartphone Model 10,Electronics,Smartphones,SmartWave,47.83,EUR,24,True,Smartphones designed for retail customers with premium features.
P0027,SKU-00027,NovaTech Smartphone Model 11,Electronics,Smartphones,NovaTech,375.49,EUR,36,True,Smartphones designed for retail customers with compact features.
P0028,SKU-00028,SmartWave Smartphone Model 12,Electronics,Smartphones,SmartWave,1226.71,EUR,36,True,Smartphones designed for retail customers with premium features.
P0029,SKU-00029,SmartWave Smartphone Model 13,Electronics,Smartphones,SmartWave,1420.34,EUR,12,True,Smartphones designed for retail customers with smart features.
P0030,SKU-00030,Electra Smartphone Model 14,Electronics,Smartphones,Electra,1393.79,EUR,36,True,Smartphones designed for retail customers with energy efficient features.
P0031,SKU-00031,Cyclon Smartphone Model 15,Electronics,Smartphones,Cyclon,1491.82,EUR,36,True,Smartphones designed for retail customers with smart features.
P0032,SKU-00032,SmartWave Smartphone Model 16,Electronics,Smartphones,SmartWave,198.09,EUR,12,True,Smartphones designed for retail customers with energy efficient features.
P0033,SKU-00033,NovaTech Headphone Model 1,Electronics,Headphones,NovaTech,889.7,EUR,12,True,Headphones designed for retail customers with compact features.
P0034,SKU-00034,HomeEase Headphone Model 2,Electronics,Headphones,HomeEase,1066.6,EUR,12,True,Headphones designed for retail customers with compact features.
P0035,SKU-00035,NovaTech Headphone Model 3,Electronics,Headphones,NovaTech,1291.26,EUR,12,True,Headphones designed for retail customers with energy efficient features.
P0036,SKU-00036,SmartWave Headphone Model 4,Electronics,Headphones,SmartWave,336.07,EUR,12,False,Headphones designed for retail customers with premium features.
P0037,SKU-00037,SmartWave Headphone Model 5,Electronics,Headphones,SmartWave,1214.1,EUR,12,True,Headphones designed for retail customers with compact features.
P0038,SKU-00038,Cyclon Headphone Model 6,Electronics,Headphones,Cyclon,543.36,EUR,24,False,Headphones designed for retail customers with compact features.
P0039,SKU-00039,HomeEase Headphone Model 7,Electronics,Headphones,HomeEase,108.71,EUR,36,True,Headphones designed for retail customers with compact features.
P0040,SKU-00040,Electra Headphone Model 8,Electronics,Headphones,Electra,302.55,EUR,36,False,Headphones designed for retail customers with premium features.
P0041,SKU-00041,Cyclon Headphone Model 9,Electronics,Headphones,Cyclon,290.56,EUR,24,True,Headphones designed for retail customers with compact features.
